Numero de actividades solucion: 73
Actividad [id=4290, inicio=0, fin=16]
Actividad [id=199, inicio=19, fin=27]
Actividad [id=4751, inicio=30, fin=32]
Actividad [id=3141, inicio=37, fin=38]
Actividad [id=775, inicio=39, fin=40]
Actividad [id=3166, inicio=40, fin=44]
Actividad [id=4898, inicio=46, fin=48]
Actividad [id=2844, inicio=52, fin=53]
Actividad [id=684, inicio=53, fin=54]
Actividad [id=4858, inicio=54, fin=55]
Actividad [id=1747, inicio=55, fin=57]
Actividad [id=145, inicio=62, fin=66]
Actividad [id=2583, inicio=66, fin=69]
Actividad [id=1802, inicio=69, fin=71]
Actividad [id=68, inicio=71, fin=80]
Actividad [id=4710, inicio=87, fin=89]
Actividad [id=704, inicio=91, fin=95]
Actividad [id=716, inicio=96, fin=100]
Actividad [id=4750, inicio=100, fin=108]
Actividad [id=1176, inicio=109, fin=111]
Actividad [id=551, inicio=114, fin=116]
Actividad [id=3121, inicio=119, fin=123]
Actividad [id=3502, inicio=124, fin=133]
Actividad [id=2306, inicio=139, fin=143]
Actividad [id=1502, inicio=143, fin=149]
Actividad [id=2686, inicio=155, fin=159]
Actividad [id=2066, inicio=159, fin=163]
Actividad [id=193, inicio=164, fin=167]
Actividad [id=2520, inicio=168, fin=173]
Actividad [id=2464, inicio=174, fin=177]
Actividad [id=1221, inicio=184, fin=189]
Actividad [id=1512, inicio=191, fin=194]
Actividad [id=1617, inicio=196, fin=198]
Actividad [id=4423, inicio=202, fin=205]
Actividad [id=4746, inicio=205, fin=215]
Actividad [id=802, inicio=217, fin=221]
Actividad [id=1065, inicio=232, fin=233]
Actividad [id=363, inicio=235, fin=238]
Actividad [id=998, inicio=243, fin=247]
Actividad [id=1957, inicio=250, fin=259]
Actividad [id=4632, inicio=260, fin=261]
Actividad [id=4199, inicio=265, fin=268]
Actividad [id=3413, inicio=273, fin=275]
Actividad [id=3717, inicio=276, fin=280]
Actividad [id=3150, inicio=282, fin=285]
Actividad [id=770, inicio=285, fin=287]
Actividad [id=2028, inicio=294, fin=297]
Actividad [id=4369, inicio=298, fin=301]
Actividad [id=4046, inicio=307, fin=308]
Actividad [id=1699, inicio=308, fin=312]
Actividad [id=2172, inicio=313, fin=314]
Actividad [id=2956, inicio=315, fin=316]
Actividad [id=1260, inicio=316, fin=323]
Actividad [id=528, inicio=324, fin=326]
Actividad [id=1093, inicio=327, fin=337]
Actividad [id=1417, inicio=337, fin=349]
Actividad [id=2603, inicio=355, fin=356]
Actividad [id=1693, inicio=358, fin=368]
Actividad [id=424, inicio=373, fin=379]
Actividad [id=899, inicio=380, fin=386]
Actividad [id=1547, inicio=391, fin=393]
Actividad [id=3109, inicio=399, fin=402]
Actividad [id=1558, inicio=404, fin=412]
Actividad [id=1112, inicio=419, fin=420]
Actividad [id=4892, inicio=421, fin=424]
Actividad [id=4531, inicio=427, fin=435]
Actividad [id=4899, inicio=439, fin=451]
Actividad [id=4283, inicio=457, fin=462]
Actividad [id=2005, inicio=463, fin=469]
Actividad [id=1302, inicio=469, fin=476]
Actividad [id=3672, inicio=476, fin=483]
Actividad [id=2547, inicio=492, fin=493]
Actividad [id=2525, inicio=493, fin=502]
